PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Name	Symbol	Alternate Names	Alternate Symbols	Is VIP	Has Variant Annotation	Cross-references	Has CPIC Dosing Guideline	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
PA24368	60496	HGNC:14235	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	holo ACP synthase, holo-[acyl-carrier-protein] synthase	AASD-PPT, ACPS, CGI-80, LYS5	Yes	No	Comparative Toxicogenomics Database:60496, Ensembl:ENSG00000149313, GenAtlas:AASDHPPT, GeneCard:AASDHPPT, HGNC:HGNC:14235, HumanCyc Gene:HS14278, ModBase:Q9NRN7, NCBI Gene:60496, OMIM:607756, RefSeq DNA:NT_033899, RefSeq Protein:NP_056238, RefSeq RNA:NM_015423, UCSC Genome Browser:NM_015423, UniProtKB:Q9NRN7	No	chr11	105948292	105969419	106077565	106098692
PA24369	10157	HGNC:17366	ENSG00000008311	aminoadipate-semialdehyde synthase	AASS	"""alpha-aminoadipic semialdehyde synthase"", ""lysine ketoglutarate reductase/saccharopine dehydrogenase"", ""saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"", ""saccharopine dehydrogenase (NADP(+), L-lysine-forming)"""	LKR/SDH, LKRSDH, LORSDH	Yes	No	Comparative Toxicogenomics Database:10157, Ensembl:ENSG00000008311, GenAtlas:AASS, GeneCard:AASS, HGNC:HGNC:17366, HumanCyc Gene:HS00244, ModBase:Q9UDR5, NCBI Gene:10157, OMIM:238700, OMIM:268700, OMIM:605113, RefSeq DNA:NG_008140, RefSeq DNA:NT_007933, RefSeq DNA:NT_079596, RefSeq Protein:NP_005754, RefSeq RNA:NM_005763, UCSC Genome Browser:NM_005763, UniProtKB:A4D0W4, UniProtKB:Q9UDR5	No	chr7	121713598	121784344	122073544	122144290
PA128395780	26574	HGNC:19235	ENSG00000275700	apoptosis antagonizing transcription factor	AATF		BFR2, CHE-1, CHE1, DED	Yes	No	Comparative Toxicogenomics Database:26574, Ensembl:ENSG00000275700, GeneCard:AATF, HGNC:HGNC:19235, HumanCyc Gene:HS03079, ModBase:Q9NY61, NCBI Gene:26574, OMIM:608463, RefSeq DNA:NT_010783, RefSeq Protein:NP_036270, RefSeq RNA:NM_012138, UCSC Genome Browser:NM_012138, UniProtKB:Q9NY61	No	chr17	35306175	35414171	36948875	37056871
PA24370	9625	HGNC:21	ENSG00000181409	apoptosis associated tyrosine kinase	AATK	"""apoptosis-associated tyrosine kinase"", ""lemur tyrosine kinase 1"", ""protein phosphatase 1, regulatory subunit 77"""	AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77	Yes	No	Comparative Toxicogenomics Database:9625, Ensembl:ENSG00000181409, GenAtlas:AATK, GeneCard:AATK, HGNC:HGNC:21, HumanCyc Gene:HS11615, ModBase:Q6ZMQ8, NCBI Gene:9625, OMIM:605276, RefSeq DNA:NT_010783, RefSeq Protein:NP_001073864, RefSeq Protein:NP_004911, RefSeq RNA:NM_001080395, RefSeq RNA:NM_004920, UCSC Genome Browser:NM_004920, UniProtKB:Q6ZMQ8	No	chr17	79084285	79139877	81117295	81166072
PA24371	17	HGNC:22		adeno-associated virus integration site 1	AAVS1		AAV	Yes	No	GenAtlas:AAVS1, GeneCard:AAVS1, HGNC:HGNC:22, NCBI Gene:17, OMIM:102699	No	chr19				
PA24372	18	HGNC:23	ENSG00000183044	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate transaminase, GABA transaminase, gamma-aminobutyrate aminotransferase	GABA-T, GABAT	Yes	Yes	Comparative Toxicogenomics Database:18, Ensembl:ENSG00000183044, GenAtlas:ABAT, GeneCard:ABAT, HGNC:HGNC:23, HumanCyc Gene:HS02477, ModBase:P80404, NCBI Gene:18, OMIM:137150, OMIM:613163, RefSeq DNA:NG_008432, RefSeq DNA:NT_010393, RefSeq Protein:NP_000654, RefSeq Protein:NP_001120920, RefSeq Protein:NP_065737, RefSeq RNA:NM_000663, RefSeq RNA:NM_001127448, RefSeq RNA:NM_020686, UCSC Genome Browser:NM_000663, UniProtKB:P80404	No	chr16	8768444	8878432	8674587	8784575
PA24373	19	HGNC:29	ENSG00000165029	ATP binding cassette subfamily A member 1	ABCA1	"""ATP-binding cassette, sub-family A (ABC1), member 1"", ""Tangier disease"""	ABC1, HDLDT1, TGD	Yes	Yes	Comparative Toxicogenomics Database:19, Ensembl:ENSG00000165029, GenAtlas:ABCA1, GeneCard:ABCA1, HGNC:HGNC:29, HumanCyc Gene:HS09173, ModBase:Q9UN09, NCBI Gene:19, OMIM:143890, OMIM:205400, OMIM:600046, OMIM:604091, RefSeq DNA:NG_007981, RefSeq DNA:NT_008470, RefSeq Protein:NP_005493, RefSeq RNA:NM_005502, UCSC Genome Browser:NM_005502, UniProtKB:O95477	No	chr9	107543283	107690527	104781002	104928246
PA24374	10349	HGNC:30	ENSG00000154263	ATP binding cassette subfamily A member 10	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	EST698739	Yes	No	Ensembl:ENSG00000154263, GenAtlas:ABCA10, GeneCard:ABCA10, HGNC:HGNC:30, HumanCyc Gene:HS07967, ModBase:Q8WWZ4, NCBI Gene:10349, OMIM:612508, RefSeq DNA:NT_010783, RefSeq Protein:NP_525021, RefSeq RNA:NM_080282, UCSC Genome Browser:NM_080282, UniProtKB:Q8WWZ4	No	chr17	67144148	67240956	69148007	69244815
PA24375	79963	HGNC:31	ENSG00000251595	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ABCA11P		EST1133530, FLJ14297	Yes	No	Ensembl:ENSG00000251595, GenAtlas:ABCA11, GeneCard:ABCA11P, HGNC:HGNC:31, NCBI Gene:79963, RefSeq DNA:NT_037622, RefSeq RNA:NR_002451	No	chr4	419224	467998	425435	474209
PA29604	26154	HGNC:14637	ENSG00000144452	ATP binding cassette subfamily A member 12	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	DKFZP434G232, ICR2B, LI2	Yes	Yes	Comparative Toxicogenomics Database:26154, Ensembl:ENSG00000144452, GenAtlas:ABCA12, GenAtlas:ICR5, GeneCard:ABCA12, GeneCard:ICR5, HGNC:HGNC:14637, HumanCyc Gene:HS07173, ModBase:Q86UK0, NCBI Gene:26154, OMIM:242500, OMIM:601277, OMIM:607800, RefSeq DNA:NG_007074, RefSeq DNA:NT_005403, RefSeq Protein:NP_056472, RefSeq Protein:NP_775099, RefSeq RNA:NM_015657, RefSeq RNA:NM_173076, UCSC Genome Browser:NM_015657, UniProtKB:Q86UK0	No	chr2	215796266	216003151	214931542	215138591
PA134925234	154664	HGNC:14638	ENSG00000179869	ATP binding cassette subfamily A member 13	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	FLJ33876, FLJ33951	Yes	No	Ensembl:ENSG00000179869, GeneCard:ABCA13, HGNC:HGNC:14638, HumanCyc Gene:HS17376, ModBase:Q86UQ4, NCBI Gene:154664, OMIM:607807, RefSeq DNA:NG_012385, RefSeq DNA:NT_007819, RefSeq DNA:NT_079592, RefSeq Protein:NP_689914, RefSeq RNA:NM_152701, UniProtKB:Q86UQ4	No	chr7	48211057	48687091	48171424	48647497
PA24377	20	HGNC:32	ENSG00000107331	ATP binding cassette subfamily A member 2	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2	Yes	Yes	Ensembl:ENSG00000107331, GenAtlas:ABCA2, GeneCard:ABCA2, HGNC:HGNC:32, HumanCyc Gene:HS02990, ModBase:Q9BZC7, NCBI Gene:20, OMIM:600047, RefSeq DNA:NG_011789, RefSeq DNA:NT_024000, RefSeq Protein:NP_001597, RefSeq Protein:NP_997698, RefSeq RNA:NM_001606, RefSeq RNA:NM_212533, UCSC Genome Browser:NM_001606, UniProtKB:Q9HC28	No	chr9	139901686	139923374	137007234	137028922
PA24378	21	HGNC:33	ENSG00000167972	ATP binding cassette subfamily A member 3	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC-C, ABC3, EST111653, LBM180	Yes	Yes	Comparative Toxicogenomics Database:21, Ensembl:ENSG00000167972, GenAtlas:ABCA3, GeneCard:ABCA3, HGNC:HGNC:33, HumanCyc Gene:HS09670, ModBase:Q99758, NCBI Gene:21, OMIM:601615, OMIM:610921, RefSeq DNA:NG_011790, RefSeq DNA:NT_010393, RefSeq Protein:NP_001080, RefSeq RNA:NM_001089, UCSC Genome Browser:NM_001089, UniProtKB:Q4LE27, UniProtKB:Q6P5P9, UniProtKB:Q99758	No	chr16	2325879	2390747	2275878	2340746
PA24379	24	HGNC:34	ENSG00000198691	ATP binding cassette subfamily A member 4	ABCA4	"""ATP-binding cassette, sub-family A (ABC1), member 4"", ""Stargardt disease"""	ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1	Yes	No	Comparative Toxicogenomics Database:24, Ensembl:ENSG00000198691, GenAtlas:ABCA4, GeneCard:ABCA4, HGNC:HGNC:34, ModBase:P78363, NCBI Gene:24, OMIM:153800, OMIM:248200, OMIM:601691, OMIM:601718, OMIM:604116, RefSeq DNA:NG_009073, RefSeq DNA:NT_032977, RefSeq Protein:NP_000341, RefSeq RNA:NM_000350, UCSC Genome Browser:NM_000350, UniProtKB:P78363, UniProtKB:Q6AI28	No	chr1	94458393	94586705	93992837	94121149
PA24380	23461	HGNC:35	ENSG00000154265	ATP binding cassette subfamily A member 5	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	EST90625	Yes	No	Ensembl:ENSG00000154265, GenAtlas:ABCA5, GeneCard:ABCA5, HGNC:HGNC:35, HumanCyc Gene:HS07968, ModBase:Q8WWZ7, NCBI Gene:23461, OMIM:612503, RefSeq DNA:NT_010783, RefSeq Protein:NP_061142, RefSeq Protein:NP_758424, RefSeq RNA:NM_018672, RefSeq RNA:NM_172232, UCSC Genome Browser:NM_018672, UniProtKB:Q8WWZ7	No	chr17	67240576	67323323	69244435	69327182
PA24381	23460	HGNC:36	ENSG00000154262	ATP binding cassette subfamily A member 6	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	EST155051	Yes	No	Comparative Toxicogenomics Database:23460, Ensembl:ENSG00000154262, GenAtlas:ABCA6, GeneCard:ABCA6, HGNC:HGNC:36, HumanCyc Gene:HS07966, ModBase:Q8N139, NCBI Gene:23460, OMIM:612504, RefSeq DNA:NT_010783, RefSeq Protein:NP_525023, RefSeq RNA:NM_080284, UCSC Genome Browser:NM_080284, UniProtKB:Q8N139	No	chr17	67074847	67138015	69062044	69142188
PA24382	10347	HGNC:37	ENSG00000064687	ATP binding cassette subfamily A member 7	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	ABCX	Yes	No	Comparative Toxicogenomics Database:10347, Ensembl:ENSG00000064687, GenAtlas:ABCA7, GeneCard:ABCA7, HGNC:HGNC:37, HumanCyc Gene:HS00814, ModBase:Q8IZY2, NCBI Gene:10347, OMIM:605414, RefSeq DNA:NT_011255, RefSeq Protein:NP_061985, RefSeq RNA:NM_019112, UCSC Genome Browser:NM_019112, UniProtKB:B3KUJ3, UniProtKB:Q8IZY2	No	chr19	1040102	1065571	1040103	1065572
PA24383	10351	HGNC:38	ENSG00000141338	ATP binding cassette subfamily A member 8	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	KIAA0822	Yes	Yes	Comparative Toxicogenomics Database:10351, Ensembl:ENSG00000141338, GenAtlas:ABCA8, GeneCard:ABCA8, HGNC:HGNC:38, HumanCyc Gene:HS06815, ModBase:O94911, NCBI Gene:10351, OMIM:612505, RefSeq DNA:NT_010783, RefSeq Protein:NP_009099, RefSeq RNA:NM_007168, UCSC Genome Browser:NM_007168, UniProtKB:O94911	No	chr17	66863428	66951550	68867285	68955426
PA24384	10350	HGNC:39	ENSG00000154258	ATP binding cassette subfamily A member 9	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	EST640918	Yes	No	Ensembl:ENSG00000154258, GenAtlas:ABCA9, GeneCard:ABCA9, HGNC:HGNC:39, HumanCyc Gene:HS07965, ModBase:Q8IUA7, NCBI Gene:10350, OMIM:612507, RefSeq DNA:NT_010783, RefSeq Protein:NP_525022, RefSeq RNA:NM_080283, UCSC Genome Browser:NM_080283, UniProtKB:Q8IUA7, UniProtKB:Q8IVK1	No	chr17	66970773	67058442	68974632	69078978
